long_name,var,season,year,CMIP,scen,GCM_scen,sim_type,mn_val,z_score
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1970,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.386405365,-0.115547295
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1971,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.436560434,-1.373973626
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1972,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.222261399,-1.657893178
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1973,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.192714322,-0.372163823
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1974,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.006331663,-0.619097653
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1975,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.508007951,-1.279314557
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1976,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.034442904,-1.906729312
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1977,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.047677318,0.76055575
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1978,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.768361388,1.715372458
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1979,K20P19_CMIP6,ssp126,miroc_ssp126,hind,5.187521548,2.270707508
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1980,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.387979127,1.211413299
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1981,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.462598703,1.31027495
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1982,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.022610181,0.727344913
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1983,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.979199849,0.669831626
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1984,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.559969322,-1.210472207
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1985,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.135523866,-0.447934061
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1986,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.944461848,-0.701067458
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1987,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.305754246,1.102475564
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1988,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.45261702,-0.027825092
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1989,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.042507605,0.753706524
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1990,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.746120933,0.361031067
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1991,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.267097519,-0.273615345
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1992,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.504586819,-1.283847131
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1993,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.41292815,1.244467649
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1994,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.440562767,-0.043795477
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1995,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.59429974,-1.164988675
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1996,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.741786538,0.355288534
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1997,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.963611108,-0.675697071
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1998,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.932059748,0.607376858
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1999,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.382748523,-1.445267711
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2000,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.063150277,-0.54382006
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2001,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.334737182,-0.184001208
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2002,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.666023843,0.254912391
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2003,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.056594704,0.772370177
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2004,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.649319098,0.232780683
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2005,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.727636859,0.336541969
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2006,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.767278177,-0.935813772
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2007,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.20357739,-1.682647165
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2008,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.203681776,-1.682508867
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2009,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.254929417,-1.61461212
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2010,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.220627029,-1.660058516
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2011,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.72386844,-0.993326272
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2012,K20P19_CMIP6,ssp126,miroc_ssp126,hind,1.812994063,-2.200121468
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2013,K20P19_CMIP6,ssp126,miroc_ssp126,hind,2.529435917,-1.250925169
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2014,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.735484308,0.346938864
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2015,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.713156844,0.317357752
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2016,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.627213258,1.52836875
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2017,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.060817617,-0.546910543
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2018,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.355822813,1.168810184
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2019,K20P19_CMIP6,ssp126,miroc_ssp126,hind,4.264651103,1.048019014
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2020,K20P19_CMIP6,ssp126,miroc_ssp126,hind,3.045265935,-0.567514587
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2021,K20P19_CMIP6,ssp126,miroc_ssp126,proj,2.985566185,-0.646609326
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2022,K20P19_CMIP6,ssp126,miroc_ssp126,proj,2.702311459,-1.021886588
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2023,K20P19_CMIP6,ssp126,miroc_ssp126,proj,2.547170551,-1.227428986
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2024,K20P19_CMIP6,ssp126,miroc_ssp126,proj,4.059795546,0.776610895
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2025,K20P19_CMIP6,ssp126,miroc_ssp126,proj,4.391158321,1.215625335
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2026,K20P19_CMIP6,ssp126,miroc_ssp126,proj,3.61026928,0.181044533
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2027,K20P19_CMIP6,ssp126,miroc_ssp126,proj,3.045803391,-0.566802525
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2028,K20P19_CMIP6,ssp126,miroc_ssp126,proj,4.277156333,1.064586889
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2029,K20P19_CMIP6,ssp126,miroc_ssp126,proj,5.027880731,2.059203292
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2030,K20P19_CMIP6,ssp126,miroc_ssp126,proj,3.11143003,-0.479855394
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2031,K20P19_CMIP6,ssp126,miroc_ssp126,proj,3.262379595,-0.279866007
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2032,K20P19_CMIP6,ssp126,miroc_ssp126,proj,2.705398039,-1.017797255
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2033,K20P19_CMIP6,ssp126,miroc_ssp126,proj,3.962725617,0.648005319
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2034,K20P19_CMIP6,ssp126,miroc_ssp126,proj,4.302823128,1.098592198
